name,time,location,description
知更鸟动漫游戏交流展01, 2020.01.01 09:30 - 01.02 17:00,中国西部国际博览城,#知更鸟动漫游戏交流展#我们来了！为所有喜爱ACG的小伙伴们带来最好玩最有趣的漫展体验！我们注重展会参与程度，重视氛围体验！力求为大家带来全新体验！漫展=购物吗？不！吃喝玩乐一样不少！重磅嘉宾阵容、超豪华的主机游戏规模、沉浸式的场景体验、丰富有趣的科技创意、各大知名高校动漫社团参展！一切有趣的事物，等你来体验！官方讨论群：805487193摊主招商群：821938320自由行活动报名群：884985378商务合作QQ号：3174287849
成都·你，我的缪斯,时间： 2019.10.01 10:00 - 2020.01.31 21:00,完美文创公园,
成都·2020CC&CC国际动漫嘉年华,时间： 2020.02.14 10:00 - 02.16 17:00,成都东郊记忆,
成都·2020星幻动漫冬日祭,时间： 2020.01.01 10:00 - 01.01 17:00,成华新华公园,
成都·cos线下聚会,时间： 2019.11.30 09:00 - 11.30 17:00,塔子山公园,
成都·2020星幻动漫年度祭,时间： 2020.01.18 10:00 - 01.18 17:00,成华新华公园,
成都·鳗鱼动漫游戏节,时间： 2020.01.01 10:00 - 01.01 17:00,完美文创公园,
成都·SC国风国漫展,时间： 2020.03.07 10:00 - 03.08 17:00,创意园,
成都·2020第三届丰晨动漫节,时间： 2020.01.29 10:00 - 01.30 17:00,成华新华公园,
成都·幻境奇遇记,时间： 2019.12.07 10:30 - 12.08 17:00,龙湖时代天街,
成都·汉服节 你来HI,时间： 2019.12.21 19:00 - 12.21 22:00,成都东郊记忆,
成都·AGW动漫游戏巡回展,时间： 2020.02.01 10:00 - 02.02 17:00,世纪城新国际会展中心,
成都·BILIBILI WORLD 2019,时间： 2019.12.21 08:30 - 12.22 17:00,世纪城新国际会展中心,BilibiliWorld飞船首次登陆成都辣！海外嘉宾、虚拟主播、嘉宾日程已公布，快来康康最新的嘉宾和舞台情报吧！更多情报戳BW官网：https://bw.bilibili.com/2019/index.html#/chengdu/关注@BilibiliWorld园长，获得更多BW成都情报：https://space.bilibili.com/402923390购买成都站门票，还可领取BW成都定制头像框哦！（愣着干嘛~赶紧往下看呀↓↓↓↓）
